city1,city2,transit_distance [m],transit_time [s]
Copenhagen,Madrid,2650752,101160
Dusseldorf,Madrid,2294605,73440
Hondarribia,Madrid,423537,27354
Edinburgh,Madrid,2535097,88800
Rome,Madrid,2245051,92100
Firenze,Madrid,1987592,76800
Funchal,Madrid,-1,-1
Granada,Madrid,430337,26700
Geneva,Madrid,1888379,66000
Helsinki,Madrid,3803684,185520
Copenhagen,Paris,1526162,63480
Dusseldorf,Paris,563981,33000
Nottingham,Paris,615301,37380
Rome,Paris,1472545,56580
Rome,Paris,1472545,56580
Firenze,Paris,1210135,42420
Funchal,Paris,-1,-1
Frankfurt am Main,Paris,590415,30900
Paisley,Paris,-1,-1
Copenhagen,Malaga,3327758,117720
Edinburgh,Malaga,2830358,115500
Eindhoven,Malaga,2533381,83280
Nottingham,Malaga,2819350,92760
Rome,Malaga,2687560,124800
Frankfurt am Main,Malaga,2483591,84300
Frankfurt am Main,Malaga,2483591,84300
Copenhagen,Helsinki,1130928,84960
Dusseldorf,Helsinki,2320958,121080
Frankfurt am Main,Helsinki,2182334,114420
Stockholm,Helsinki,495997,50700
Paris,Helsinki,2710949,145740
Oulu,Helsinki,679470,27720
Rovaniemi,Helsinki,897102,30000
Copenhagen,Amsterdam,998571,47400
Dusseldorf,Amsterdam,297951,16140
Faro,Amsterdam,2849781,94080
Rome,Amsterdam,2010915,71820
Funchal,Amsterdam,-1,-1
Frankfurt am Main,Amsterdam,522489,29400
Paisley,Amsterdam,-1,-1
Copenhagen,Munich,1315701,49200
Dusseldorf,Munich,660970,26940
Rome,Munich,910221,42600
Firenze,Munich,787303,38220
Frankfurt am Main,Munich,419719,17040
Geneva,Munich,597482,34800
Hanover,Munich,647042,21660
Hondarribia,Barcelona,-1,-1
Edinburgh,Barcelona,2247839,82080
Rome,Barcelona,-1,-1
Frankfurt am Main,Barcelona,1644271,61080
Granada,Barcelona,1033665,38400
Geneva,Barcelona,793406,34260
Helsinki,Barcelona,3907329,177133
Copenhagen,Gothenburg,300390,15480
Edinburgh,Gothenburg,-1,-1
Frankfurt am Main,Gothenburg,1329196,65460
Malaga,Gothenburg,3637487,147900
Bergen,Gothenburg,748233,41700
Geneva,Gothenburg,2022864,88200
Helsinki,Gothenburg,970031,61620
Copenhagen,Budapest,1874267,75720
Dortmund,Budapest,1265539,55500
Eindhoven,Budapest,1386390,61380
Rome,Budapest,1248839,62400
Funchal,Budapest,-1,-1
Frankfurt am Main,Budapest,992027,45600
Edinburgh,Gatwick,698408,34440
Rome,Gatwick,2041950,74340
Firenze,Gatwick,1764722,59940
Frankfurt am Main,Gatwick,836486,40680
Saint Peter Port,Gatwick,277282,22649
Geneva,Gatwick,962230,44340
Dusseldorf,El Matorral,-1,-1
Edinburgh,El Matorral,-1,-1
Nottingham,El Matorral,-1,-1
Frankfurt am Main,El Matorral,-1,-1
Paisley,El Matorral,-1,-1
Hanover,El Matorral,-1,-1
Barcelona,Charleroi,1448802,50580
Rome,Charleroi,1843536,68700
Otopeni,Charleroi,2447536,124140
Catania,Charleroi,2673604,95032
Edinburgh,Charleroi,1077944,44940
Copenhagen,Postage,-1,-1
Rheinmunster,Postage,-1,-1
Memmingen,Postage,-1,-1
Funchal,Postage,-1,-1
Geneva,Postage,-1,-1
Copenhagen,London,1591446,66060
Copenhagen,London,1591446,66060
Dusseldorf,London,655479,33720
Rome,London,1997248,72180
Frankfurt am Main,London,793309,39660
Copenhagen,Alicante,3345152,113700
Eindhoven,Alicante,2324171,81540
